pe_02x,pe_02y,pe_02z,pe_3x,pe_3y,pe_3z,he_02x,he_02y,he_02z,he_3x,he_3y,he_3z,max_x,max_y,max_z,min_x,min_y,min_z,pianch_x,pianch_y,pianch_z,average_x,average_y,average_z,std_x,std_y,std_z,eng_x,eng_y,eng_z,class
2,7,0,0,0,0,0.0390625,0.06640625,0,0,0,0,0.2332255,0.2386785,0.1204755,-0.3117825,-0.2456705,-0.1816145,0.545008,0.484349,0.30209,-0.027514718,0.018040874,-0.026059543,0.123086526,0.114877592,0.068722216,4.073039338,3.462043059,1.383550843,S
3,8,0,0,0,0,0.04296875,0.07421875,0,0,0,0,0.218186,0.220211,0.124782,-0.3117825,-0.2456705,-0.1816145,0.5299685,0.4658815,0.3063965,-0.012876533,0.030823663,-0.018286216,0.131389332,0.116758449,0.075548754,4.46197999,3.734104303,1.547086378,S
3,4,0,0,0,0,0.04296875,0.05078125,0,0,0,0,0.218186,0.220211,0.124782,-0.2132185,-0.1829185,-0.1624925,0.4314045,0.4031295,0.2872745,-0.003187811,0.021557356,-0.015856401,0.123069792,0.100015675,0.072378306,3.880032157,2.680235561,1.405702841,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1594705,0.1904905,0.081731,-0.2457575,-0.2047965,-0.1626395,0.405228,0.395287,0.2443705,-0.010085304,0.020223105,-0.014864763,0.118049989,0.100874227,0.065834552,3.593705083,2.71006237,1.166339204,S
0,0,0,0,0,0,0,0,0,0,0,0,0.183278,0.1904905,0.0852205,-0.2457575,-0.2047965,-0.1626395,0.4290355,0.395287,0.24786,-0.005474553,0.026495531,-0.01345315,0.125152633,0.107282406,0.070365016,4.017476933,3.126853134,1.314030015,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1928255,0.1744165,0.0852205,-0.223519,-0.1811145,-0.153245,0.4163445,0.355531,0.2384655,0.000599553,0.026215064,-0.013370025,0.11437751,0.09358543,0.062114491,3.349139341,2.418725586,1.033642465,S
3,5,3,0,0,0,0.125,0.1328125,0.08984375,0,0,0,0.408863,0.3961985,0.2490655,-0.3237665,-0.311138,-0.288986,0.7326295,0.7073365,0.5380515,-0.023441942,0.007359621,-0.031628165,0.185385966,0.175800163,0.137908909,8.939424703,7.925778681,5.125917596,S
3,6,3,0,0,0,0.11328125,0.12109375,0.08984375,0,0,0,0.408863,0.3961985,0.2490655,-0.3542875,-0.328589,-0.307688,0.7631505,0.7247875,0.5567535,-0.00680486,0.032548247,-0.015789874,0.197285596,0.186734427,0.147048532,9.975831949,9.198917895,5.599632573,S
5,13,5,0,0,0,0.34375,0.3515625,0.296875,0,0,0,1.072767,1.477249,1.034651,-0.3542875,-0.328589,-0.307688,1.4270545,1.805838,1.342339,0.167914461,0.264874307,0.185909866,0.349026598,0.451135277,0.378115891,38.43199238,70.13260627,45.48329349,S
11,25,8,0,0,0,0.4765625,0.57421875,0.57421875,0,0,0,1.072767,1.477249,1.260312,-0.384427,-0.2298505,-0.4588555,1.457194,1.7070995,1.7191675,0.243978716,0.343533887,0.406813327,0.316349991,0.428483727,0.47719293,40.91787579,77.3311576,100.8273019,S
8,13,5,0,0,0,0.22265625,0.2578125,0.3515625,0,0,0,0.495715,0.6107695,1.260312,-0.7316835,-1.1102705,-1.7318465,1.2273985,1.72104,2.9921585,-0.12178771,-0.117719644,-0.221626471,0.394280891,0.427809676,0.908088939,43.60898701,50.41489039,223.7275344,S
3,1,3,0,0,0,0.12890625,0.02734375,0.078125,0,0,0,0.342676,0.229658,0.2883335,-0.7316835,-1.1102705,-1.7318465,1.0743595,1.3399285,2.02018,-0.23701265,-0.246199623,-0.467194953,0.337566221,0.328435024,0.666904852,43.60841811,43.19247193,169.9547719,S
3,3,3,0,0,0,0.203125,0.16015625,0.05859375,0,0,0,0.4688305,0.3786685,0.264478,-0.4175765,-0.5296235,-0.424673,0.886407,0.908292,0.689151,-0.035465025,-0.02121463,-0.042144846,0.23034423,0.212566849,0.175322617,13.90621318,11.68293993,8.325413484,S
2,4,2,0,0,0,0.1640625,0.16796875,0.05078125,0,0,0,0.4688305,0.3786685,0.264478,-0.4175765,-0.5296235,-0.424673,0.886407,0.908292,0.689151,0.017198887,0.034771545,-0.008255058,0.182923827,0.18173923,0.136375743,8.642069436,8.766190293,4.778689414,S
